hr,name,ra_degrees,dec_degrees,Vmag
199,CP-63   72,11.134583333333332,-62.49777777777778,6.07
200,BD+68   49,11.6625,69.325,6.33
201,BD-05  120,11.350416666666666,-4.629166666666667,6.15
202,CP-54  166,11.249999999999998,-53.715,6.15
203,CetBD-13  128,11.369583333333333,-12.880833333333333,6.15
204,BD+54  148,11.562916666666665,55.305277777777775,6.52
205,BD+44  160,11.545416666666666,44.86138888888889,6.05
206,BD-17  132,11.423749999999998,-16.424166666666668,6.47
207,BD+58  101,11.676666666666666,59.574444444444445,6.39
208,CasBD+74   29,11.942083333333331,74.8475,5.41
209,CD-48  176,11.44,-47.55166666666666,5.80
210,CD-23  293,11.549166666666666,-22.521944444444443,5.50
211,PscBD+14  111,11.6375,15.475555555555555,5.38
212,BD+71   37,12.037916666666666,72.67500000000001,5.87
213,PscBD+11   96,11.756249999999998,11.973888888888888,5.50
214,PscBD+18  101,11.806666666666665,19.578888888888887,6.13
215,AndBD+23  106,11.834583333333331,24.26722222222222,4.06
216,PscBD+05  104,11.848333333333331,6.740833333333334,5.99
217,PscBD+20  105,11.978333333333332,20.92527777777778,6.54
218,BD-18  127,11.930416666666664,-18.06138888888889,5.70
219,CasBD+57  150,12.274999999999999,57.81583333333333,3.44
220,BD-22  134,12.004583333333333,-21.722499999999997,5.57
221,PscBD+06  105,12.0725,7.3,5.93
222,BD+04  123,12.095833333333333,5.280555555555556,5.75
223,CasBD+50  147,12.20875,50.968333333333334,4.89
224,PscBD+06  107,12.170833333333333,7.585,4.43
225,PscBD+16   76,12.244583333333333,16.940555555555555,5.07
226,AndBD+40  171,12.453333333333331,41.07888888888889,4.53
227,BD-14  145,12.356666666666664,-13.561388888888889,5.59
228,CD-24  345,12.307916666666666,-24.136388888888888,5.90
229,CD-47  229,12.23625,-46.69777777777777,6.27
230,PscBD+26  131,12.469999999999999,27.710833333333333,7.0
231,PscBD+26  131,12.471666666666666,27.710277777777776,7.1
232,CD-24  347,12.389166666666666,-23.361666666666668,6.28
233,BD+63   99,12.681666666666665,64.2475,5.39
234,BD+44  176,12.576249999999998,45.00222222222222,6.15
235,2CetBD-11  153,12.531666666666665,-10.644444444444444,5.19
236,HyiCP-75   64,12.147499999999999,-74.92333333333333,5.07
237,BD+61  178,12.818333333333332,61.80583333333333,6.07
238,BD+50  161,12.739166666666666,51.50805555555556,6.39
239,CD-44  216,12.515416666666665,-43.39472222222222,6.48
240,BD+82   20,13.72125,83.70722222222223,5.62
241,BD+50  164,12.890416666666665,51.571111111111115,6.21
242,PheCD-51  209,12.671666666666667,-50.98694444444445,5.22
243,BD+02  118,12.826249999999998,3.385,6.37
244,BD+60  124,13.267083333333332,61.12416666666667,4.82
245,CD-44  226,12.967083333333331,-43.70916666666667,6.90
246,BD+37  159,13.2225,38.54861111111111,6.69
247,CD-24  376,13.169166666666666,-24.00583333333333,5.46
248,CetBD-01  114,13.252083333333331,-1.1441666666666666,4.77
249,BD+36  148,13.367499999999998,37.418055555555554,6.06
250,BD+51  179,13.448333333333332,52.689166666666665,6.27
251,CD-25  338,13.301666666666666,-24.776944444444442,6.46
252,1TucCP-70   37,13.10125,-69.50444444444445,6.22
253,1CasBD+58  134,13.750416666666665,58.97277777777778,4.83
254,PscBD+18  122,13.646666666666665,19.188333333333333,5.74
255,CetBD-09  181,13.573333333333332,-8.740833333333333,6.16
256,BD+47  242,13.771666666666665,48.67861111111111,6.27
257,CP-63   83,13.407916666666665,-62.87138888888889,5.70
258,AndBD+22  146,13.741666666666665,23.628333333333334,5.47
259,BD+23  126,13.811249999999998,24.556944444444444,6.20
260,BD+57  172,14.053749999999999,57.99666666666667,6.21
